1970,8	1322
1959,4	1322,2
1955,2	1322,2
1949,2	1322
1940,2	1319,8
1935,4	1317,8
1925,2	1313
1915,2	1308,6
1903,8	1304,2
1892,6	1299,8
1881,4	1295,4
1869,8	1290,2
1859,8	1284,8
1848,8	1278,2
1838,6	1272,6
1827,8	1267,2
1818,2	1262,6
1807,4	1257,6
1796	1254,6
1783,8	1251,8
1772,4	1249,2
1759,4	1247
1747,2	1245,6
1731,8	1245,6
1718,6	1245
1703,6	1245
1692,4	1245,8
1679,8	1246,6
1669,6	1247,6
1659,2	1249
1648,8	1251
1637,6	1252,8
1629	1255,2
1619,2	1256,2
1609	1258,2
1597,8	1260
1587,6	1260,8
1577	1261,4
1565,8	1262,8
1553,8	1262,4
1542,2	1261
1531,2	1257,2
1520,6	1253,6
1508,2	1248,8
1498,4	1242,4
1489	1235,4
1477,8	1227
1468,8	1218,6
1460,2	1207,8
1452,2	1198,4
1444,8	1188
1434,8	1176
1424	1165
1414,2	1155,2
1404	1147,2
1395,2	1138,6
1386,4	1130,8
1375,6	1120,6
1368	1112,4
1359	1102,4
1348,8	1090,2
1342,2	1081
1333	1067,4
1324,2	1055,8
1316,2	1043,6
1306,4	1029
1297	1018,2
1287,8	1008
1277,2	999,2
1265,6	992
1256	988
1245,6	986,6
1233,6	986,4
1222,4	989,4
1210,2	994,4
1199,6	1001,4
1189	1011,6
1178,6	1020,2
1166,4	1030,6
1157,2	1041,2
1149	1049,8
1140,8	1058,6
1133,4	1066
1126,2	1073,4
1119,8	1080,8
1113	1087,4
1105,6	1094,8
1096,6	1101,2
1087,2	1108,6
1077,8	1111
1067	1111,2
1057,4	1110,4
1045,8	1101,8
1035,8	1092,8
1026,8	1082,4
1017,8	1071,8
1008,8	1060,8
1000,4	1051,4
990,6	1042
979,8	1032,2
971,8	1024,6
962,2	1018,4
951	1016
940,6	1016,8
931	1018,4
920	1022,8
909,4	1029,6
899,6	1037
890,4	1044,8
879,2	1054,8
871	1063,2
863,2	1071,8
854,2	1080,8
845,2	1089,6
836,4	1098,6
828,2	1107,2
819,8	1116,6
812	1124,4
803,8	1132,8
795,8	1141,2
784,6	1153,6
770,2	1166,2
759	1175,2
747,4	1186,8
739,4	1194,8
725,6	1205,8
715,6	1215,6
705,4	1222,8
695,8	1230,4
683,8	1239,2
674,6	1246
662,4	1255
652,4	1262,2
641,2	1268,8
629,2	1275,2
618,4	1281
604,6	1288,2
590,6	1295
579,4	1299,6
568,2	1303,8
556,2	1307,6
543,2	1312,6
529,6	1316,6
516,6	1320
500,4	1322,8
485,4	1325,6
470,6	1327
459,8	1330
447,6	1332,4
433,6	1333
418,6	1334,4
400,2	1336,4
385	1339,2
369,8	1340,4
354,6	1341,2
339,6	1342,4
326,4	1344
312,4	1344,8
288,8	1345,8
270,6	1346,4
260,6	1346,6
